strategy,n_tests,avg_hops,all_hops
random,10,2003.80,127 3119 2647 3483 376 137 465 5000 136 4548
betweenness,10,5000.00,5000 5000 5000 5000 5000 5000 5000 5000 5000 5000
betweenness-extra,10,2447.80,616 48 3874 5000 7 790 5000 1521 5000 2622
llm,10,3501.80,5000 3 5000 5000 5000 5000 5000 4 5000 11
llm-no-back,10,2504.10,5000 3 5000 14 5000 5000 5000 4 9 11
betweenness-extra-no-back,10,3404.30,274 5000 5000 5000 4 1543 5000 5000 4036 3186
llm-extra-eps-0.1,10,217.90,1448 3 20 14 603 52 7 6 15 11
llm-extra-eps-0,10,181.70,1162 3 20 14 524 53 17 4 9 11
betweenness-then-llm,10,2004.20,5000 10 5 9 4 5000 9 5000 5 5000
llm-fallback,10,2002.80,5000 3 5000 3 5000 5000 3 3 5 11
